avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
3.42,4.7,3.8,1.0,0.0,60.0,True,0,0,1,0,0,1
3.21,5.0,4.8,1.0,0.0,75.0,True,1,0,1,0,1,1
4.58,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
2.94,5.0,5.0,1.5,50.0,0.0,False,1,0,0,1,0,0
2.74,4.8,4.8,1.03,11.1,55.6,False,1,0,0,0,1,1
2.83,4.7,4.6,1.22,17.4,30.4,True,1,0,1,1,0,1
6.3,5.0,4.0,1.65,60.0,60.0,False,0,0,0,1,0,0
1.31,5.0,5.0,1.63,50.0,0.0,False,0,0,1,1,0,0
2.19,5.0,5.0,1.35,40.0,80.0,False,0,1,0,0,0,0
15.66,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,1
3.83,4.9,4.8,1.13,20.0,30.0,False,0,0,1,1,0,1
4.26,4.7,2.9,1.19,23.8,52.4,False,0,0,0,1,0,0
4.89,4.6,3.7,1.0,0.0,75.0,True,1,0,0,1,0,1
4.24,4.7,4.6,1.33,55.6,77.8,False,0,1,0,1,0,1
9.17,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
5.35,5.0,,1.0,0.0,0.0,True,1,0,1,0,0,0
8.18,4.5,,1.38,50.0,100.0,False,0,1,1,0,1,1
12.27,5.0,3.0,1.0,0.0,0.0,True,0,0,1,0,1,0
9.67,5.0,5.0,1.0,0.0,100.0,False,0,1,1,1,0,0
2.92,4.8,4.7,1.0,0.0,90.0,False,0,1,1,1,0,1
5.24,4.7,5.0,1.0,0.0,66.7,False,0,0,1,1,0,0
4.67,4.9,4.8,1.03,6.0,76.1,False,0,0,1,1,0,1
2.96,4.3,4.0,1.04,4.8,100.0,True,1,0,1,1,0,1
6.66,5.0,4.4,1.02,9.1,81.8,False,0,0,0,1,0,0
3.9,5.0,5.0,3.0,100.0,100.0,False,0,0,0,0,0,0
2.05,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,1,0
3.71,4.8,2.8,1.0,0.0,69.2,True,0,0,1,1,0,1
2.72,4.9,4.1,1.02,2.4,68.3,False,0,0,1,1,0,0
9.55,5.0,,1.0,0.0,0.0,True,0,0,0,0,0,0
4.0,4.6,5.0,1.11,20.0,45.7,True,0,1,1,1,0,1
22.53,5.0,,1.0,0.0,100.0,True,0,0,0,0,1,0
3.3,4.8,4.9,1.19,25.0,83.3,False,0,0,1,0,1,1
3.12,5.0,3.0,1.0,0.0,100.0,True,0,1,1,1,0,0
2.98,5.0,5.0,1.0,0.0,66.7,True,0,0,1,0,0,0
3.58,5.0,4.3,1.08,33.3,33.3,False,0,0,1,1,0,0
5.66,4.9,5.0,1.01,2.1,56.3,True,0,1,1,1,0,1
13.14,5.0,,1.0,0.0,100.0,False,0,0,0,0,0,0
0.98,5.0,4.5,1.0,0.0,0.0,False,0,0,1,1,0,0
2.3,5.0,4.0,1.0,0.0,100.0,False,0,0,1,0,0,0
6.56,5.0,4.5,1.0,0.0,50.0,False,0,0,1,1,0,0
1.69,4.3,5.0,1.0,0.0,100.0,False,1,0,1,1,0,0
19.9,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
5.77,4.7,4.1,1.14,15.8,94.7,True,0,0,1,1,0,0
2.72,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,1,0
4.88,4.9,5.0,1.0,0.0,73.3,True,1,0,1,1,0,1
2.9,5.0,,1.0,0.0,100.0,True,0,0,1,0,1,1
7.26,5.0,4.0,1.0,0.0,0.0,False,1,0,1,0,1,1
2.7,4.7,5.0,1.0,0.0,33.3,False,0,1,1,1,0,0
5.58,4.9,4.7,1.2,10.0,100.0,False,0,1,0,0,1,0
5.0,4.6,4.6,1.12,6.7,46.7,True,0,1,1,1,0,1
19.08,5.0,,1.0,0.0,0.0,True,0,0,0,0,0,0
5.88,5.0,4.5,1.0,0.0,33.3,True,1,0,0,0,0,1
1.51,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,0
1.62,4.8,4.6,1.0,0.0,50.0,False,0,0,0,1,0,0
25.93,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
3.15,5.0,4.5,1.42,33.3,66.7,False,0,0,1,1,0,0
2.46,4.7,4.8,1.25,22.2,66.7,True,0,0,1,1,0,0
1.81,5.0,5.0,1.08,33.3,0.0,False,1,0,0,1,0,0
2.4,5.0,5.0,1.0,0.0,50.0,False,1,0,1,0,1,1
4.6,5.0,5.0,1.0,0.0,100.0,True,0,1,0,0,1,0
11.41,5.0,5.0,1.42,33.3,33.3,False,1,0,0,0,1,0
2.27,3.0,,1.0,0.0,0.0,True,0,0,0,0,0,0
5.27,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
5.26,5.0,5.0,1.25,50.0,0.0,False,0,0,0,1,0,0
3.37,5.0,4.5,1.0,0.0,33.3,False,1,0,0,0,0,0
2.03,4.8,5.0,1.69,50.0,0.0,False,1,0,0,0,0,0
1.61,4.8,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
1.75,5.0,5.0,1.25,20.0,20.0,True,0,0,1,1,0,0
16.19,5.0,,1.0,0.0,100.0,True,1,0,1,0,0,0
8.68,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,0
2.7,4.8,4.8,1.0,0.0,17.6,False,0,0,0,1,0,1
2.2,5.0,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
2.66,5.0,,1.25,100.0,100.0,False,1,0,1,0,1,0
14.71,5.0,,1.0,0.0,100.0,False,0,1,1,0,0,0
1.4,4.0,,1.0,0.0,100.0,True,1,0,1,0,0,0
2.72,5.0,,1.0,0.0,0.0,True,0,0,1,0,1,1
2.05,5.0,4.0,1.0,0.0,100.0,False,0,1,0,0,1,0
3.93,5.0,5.0,2.5,100.0,0.0,False,1,0,0,0,0,0
4.5,4.7,4.5,1.0,0.0,66.7,False,0,0,1,1,0,0
5.24,5.0,4.0,1.0,0.0,100.0,True,1,0,1,1,0,0
14.14,4.9,3.9,1.22,22.2,100.0,True,1,0,1,0,1,0
2.48,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
1.7,5.0,3.0,1.0,0.0,0.0,True,1,0,1,0,0,1
6.78,5.0,5.0,1.19,37.5,62.5,False,0,1,1,1,0,0
2.99,4.8,4.6,1.17,23.1,76.9,True,1,0,1,0,1,1
5.06,5.0,4.7,1.0,0.0,85.7,False,0,1,1,1,0,1
2.87,5.0,4.0,1.06,12.5,75.0,True,0,0,1,0,0,1
13.66,5.0,5.0,1.0,0.0,100.0,False,1,0,1,1,0,0
1.23,5.0,,1.0,0.0,0.0,False,0,0,1,0,1,1
3.65,4.7,4.3,1.36,28.6,42.9,True,1,0,1,1,0,1
2.69,4.4,4.8,1.03,3.1,90.6,True,0,1,1,1,0,1
1.8,4.3,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
1.66,4.7,5.0,1.29,33.3,33.3,False,0,0,0,1,0,0
6.9,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
3.72,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,0,1
3.08,5.0,,1.0,0.0,50.0,True,0,1,0,0,1,0
2.87,5.0,4.0,1.25,25.0,100.0,True,0,1,1,0,0,1
14.18,5.0,5.0,1.0,0.0,0.0,True,0,1,0,0,0,1
3.19,4.7,4.0,1.0,0.0,23.1,False,0,0,1,1,0,1
7.17,5.0,,1.0,0.0,100.0,False,0,1,0,0,1,1
2.65,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,1,0
5.51,5.0,3.0,1.0,0.0,100.0,True,0,0,0,1,0,0
6.08,4.0,,1.0,0.0,0.0,False,1,0,1,0,1,0
10.68,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,1
8.3,5.0,5.0,1.0,0.0,100.0,True,0,0,0,0,1,0
2.89,4.5,4.7,1.08,15.6,56.3,False,0,0,1,1,0,1
17.02,5.0,4.7,1.0,0.0,71.4,True,1,0,1,1,0,1
1.42,4.7,4.9,1.03,7.1,83.3,False,0,1,1,1,0,1
1.46,4.8,5.0,1.25,16.7,66.7,False,0,0,0,1,0,0
3.99,5.0,4.3,1.0,0.0,80.0,False,0,0,0,0,1,1
2.05,5.0,4.9,1.0,0.0,100.0,False,1,0,0,1,0,1
20.93,5.0,,1.0,0.0,0.0,False,0,0,1,0,0,0
2.45,5.0,4.4,1.09,10.7,32.1,False,0,1,1,1,0,1
1.89,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
2.32,5.0,5.0,1.16,37.5,75.0,False,0,1,1,1,0,1
9.93,5.0,,1.0,0.0,100.0,True,1,0,0,0,0,0
3.89,4.7,5.0,1.0,0.0,100.0,True,1,0,1,1,0,1
6.3,5.0,4.8,1.0,0.0,50.0,False,1,0,1,0,1,1
11.38,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,1
3.01,4.6,4.6,1.0,0.0,58.3,False,0,1,1,1,0,0
3.38,5.0,,1.0,0.0,100.0,True,1,0,1,0,1,1
2.23,4.7,4.9,1.13,23.1,23.1,True,1,0,1,1,0,1
6.7,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
1.34,5.0,,1.13,50.0,0.0,True,0,1,1,0,1,1
1.99,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,0,0
7.68,5.0,5.0,1.0,0.0,0.0,True,0,0,0,0,1,0
3.58,5.0,3.7,1.0,0.0,50.0,False,0,0,1,1,0,1
3.23,4.8,4.5,1.21,33.3,66.7,False,0,1,1,0,1,1
2.38,5.0,2.0,1.0,0.0,50.0,False,1,0,1,0,1,0
2.02,3.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
4.09,5.0,3.5,1.08,33.3,100.0,False,0,1,1,0,1,1
7.15,5.0,5.0,1.17,33.3,66.7,False,0,0,0,0,1,0
2.31,5.0,,1.0,0.0,100.0,True,1,0,1,0,1,0
8.83,4.8,5.0,1.0,0.0,50.0,True,0,1,1,1,0,0
31.38,5.0,,1.0,0.0,100.0,False,0,1,1,0,1,1
2.56,5.0,,1.0,0.0,100.0,True,0,0,1,0,0,0
2.19,4.5,4.0,1.0,0.0,100.0,False,0,0,1,0,1,1
3.09,4.8,5.0,1.11,11.1,72.2,True,1,0,1,1,0,1
5.19,5.0,5.0,1.0,0.0,100.0,True,1,0,0,0,0,0
3.11,4.3,3.7,1.0,0.0,75.0,True,1,0,1,1,0,1
14.55,4.7,4.8,1.04,5.6,73.2,True,0,0,1,1,0,1
8.97,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,1,1
22.3,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,1
1.28,4.7,4.7,1.0,0.0,33.3,False,0,0,0,1,0,0
2.43,5.0,4.9,1.0,0.0,50.0,True,1,0,0,1,0,1
2.79,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,0
4.54,5.0,5.0,1.56,75.0,0.0,False,0,0,1,0,1,1
4.28,3.7,5.0,1.0,0.0,66.7,False,0,0,1,0,1,0
4.18,4.5,5.0,1.0,0.0,81.8,True,0,0,1,1,0,1
8.59,5.0,5.0,1.63,50.0,100.0,False,0,1,1,1,0,0
3.28,4.8,4.7,1.0,0.0,76.2,False,0,1,1,1,0,1
4.76,5.0,4.0,1.0,0.0,100.0,False,0,1,1,1,0,0
2.57,5.0,5.0,1.0,0.0,100.0,True,0,1,1,0,1,1
4.89,5.0,,1.0,0.0,100.0,False,0,0,0,0,1,1
11.83,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,1
2.9,4.8,4.4,1.14,16.0,44.0,True,1,0,1,1,0,1
3.12,5.0,,1.0,0.0,0.0,False,0,1,0,0,1,0
3.01,4.9,5.0,1.0,0.0,70.0,True,0,0,1,0,0,1
10.31,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,0,0
3.66,4.6,4.5,1.01,2.8,50.0,True,0,0,0,1,0,1
2.45,4.3,5.0,1.0,0.0,66.7,False,0,0,1,0,1,1
7.11,4.7,4.0,1.0,0.0,85.7,False,0,0,0,1,0,1
4.18,5.0,5.0,1.0,0.0,25.0,True,1,0,1,0,1,0
5.94,4.7,5.0,1.08,33.3,0.0,False,0,0,1,0,0,0
3.3,4.9,5.0,1.0,0.0,69.2,False,1,0,1,1,0,0
1.19,4.0,3.0,3.0,100.0,100.0,True,1,0,1,0,1,0
12.43,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,1
5.46,4.5,4.1,1.16,37.5,75.0,False,0,1,1,1,0,1
7.81,5.0,5.0,1.25,33.3,0.0,True,1,0,0,0,1,0
3.12,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
15.47,5.0,3.0,1.0,0.0,0.0,False,0,1,0,0,0,0
2.22,4.3,4.0,1.06,25.0,25.0,False,1,0,1,0,1,1
5.03,4.7,5.0,1.0,0.0,54.5,False,0,0,0,1,0,1
9.69,4.6,4.3,1.01,5.6,77.8,False,0,0,1,1,0,1
7.88,5.0,4.8,1.0,0.0,50.0,True,0,0,1,0,1,1
2.43,5.0,4.2,1.29,14.3,71.4,False,0,1,1,0,1,1
3.21,4.9,4.3,1.0,0.0,70.6,True,1,0,0,1,0,1
1.42,5.0,4.5,1.17,33.3,66.7,False,0,0,1,0,1,0
4.41,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,0
