id,film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
1,3934,588.0,432.0,7.0999999,203461,46000
2,3405,285.0,267.0,6.4000001,149998,0
3,478,65.0,29.0,3.20000005,8465,491
4,74,83.0,25.0,7.5999999,7071,930
5,1254,1437.0,224.0,8.0,241030,13000
6,740,111.0,64.0,6.4000001,64742,0
7,4841,1058.0,579.0,8.10000038,479047,117000
8,2869,59.0,104.0,6.80000019,18442,689
9,3252,117.0,160.0,7.19999981,49855,10000
10,1181,163.0,99.0,7.30000019,16995,0
11,2020,402.0,145.0,6.69999981,91092,0
12,4152,371.0,359.0,5.9000001,108242,39000
13,3220,62.0,64.0,6.19999981,15780,2000
14,2312,251.0,161.0,5.80000019,63912,912
15,1820,113.0,41.0,7.0,8535,872
16,718,85.0,43.0,6.4000001,76850,1000
17,831,107.0,65.0,6.5999999,40126,975
18,1231,226.0,113.0,6.5,26034,0
19,1746,125.0,71.0,6.5999999,17261,455
20,3508,43.0,10.0,5.30000019,8598,250
21,1621,181.0,93.0,6.0,44913,3000
22,3197,143.0,128.0,4.80000019,33088,0
23,4464,5.0,10.0,4.80000019,241,261
24,3929,7.0,39.0,7.0999999,774,590
25,2183,18.0,33.0,4.5,3119,151
26,3298,53.0,83.0,7.4000001,6091,0
27,2392,156.0,111.0,5.0,51252,621
28,978,41.0,29.0,6.0999999,22748,666
29,3176,148.0,222.0,6.5999999,55597,4000
30,272,60.0,25.0,6.0999999,18140,855
31,2414,69.0,87.0,6.30000019,10052,0
32,2873,65.0,121.0,5.9000001,8867,0
33,2744,88.0,117.0,7.4000001,46076,11000
34,4013,8.0,13.0,5.4000001,133,424
35,4707,440.0,465.0,7.4000001,232187,47000
36,4592,34.0,59.0,5.30000019,5693,0
37,2379,90.0,34.0,6.5999999,19336,0
38,848,57.0,31.0,6.69999981,8531,591
39,308,134.0,52.0,6.9000001,48629,0
40,4210,111.0,217.0,6.9000001,31898,0
41,1492,377.0,131.0,6.5999999,52244,0
42,3879,55.0,162.0,7.30000019,15600,0
43,4094,150.0,239.0,6.80000019,47954,11000
44,3319,120.0,124.0,5.4000001,31191,0
45,302,152.0,75.0,6.19999981,31260,0
46,3854,316.0,481.0,7.5999999,148221,51000
47,1522,431.0,142.0,6.4000001,200260,0
48,1491,119.0,47.0,3.5999999,2855,663
49,1526,12.0,15.0,7.5999999,341,379
50,4501,37.0,129.0,6.5999999,8307,5000
51,143,64.0,15.0,7.0,3454,548
52,1048,207.0,78.0,5.9000001,6082,853
53,1943,866.0,301.0,8.19999981,692482,11000
54,877,98.0,43.0,6.0999999,13949,453
55,4362,,,4.30000019,28,17
56,2577,306.0,171.0,5.80000019,50170,773
57,3760,150.0,206.0,6.69999981,46813,12000
58,2331,43.0,38.0,7.30000019,6454,0
59,1762,10.0,8.0,5.80000019,191,7
60,3042,109.0,127.0,4.9000001,31640,791
61,2226,129.0,32.0,1.89999998,25371,0
62,2239,4.0,16.0,7.4000001,352,44
63,4769,110.0,224.0,5.80000019,28429,0
64,3016,1.0,5.0,7.4000001,59,18
65,783,283.0,72.0,5.80000019,81783,0
66,2676,238.0,173.0,5.5,32671,0
67,2471,214.0,112.0,7.0999999,30210,0
68,1379,498.0,169.0,7.30000019,135246,0
69,4442,343.0,292.0,7.9000001,221128,46000
70,2118,1624.0,287.0,7.9000001,361169,18000
71,4922,781.0,275.0,7.30000019,111609,89000
72,560,148.0,49.0,6.5999999,62037,0
73,2949,76.0,121.0,6.5,16224,830
74,4173,79.0,143.0,5.19999981,7384,0
75,2576,108.0,94.0,7.0999999,28068,0
76,1015,28.0,12.0,5.80000019,1686,161
77,3209,30.0,8.0,3.0999999,851,128
78,2094,69.0,50.0,5.69999981,10104,265
79,788,88.0,56.0,7.5,11612,0
