Prop_ID,Name,Location,Park_Name,Length,Difficulty,Other_Details,Accessible,Limited_Access,lat,lon
B057,Salt Marsh Nature Trail,"Enter behind the Salt Marsh Nature Center, located near the intersection of East 33rd Street and Avenue U.",Marine Park,0.8 miles,,"<p>The first half of this mile-long trail follows the shore of Gerritsen Beach, which empties into Jamaica Bay. The trail&rsquo;s second leg winds through a prairie of tall grass, where you can sometimes spot cottontail rabbits and ring-necked pheasants. Check out our <a href=""/park-features/hiking/marine-park"">Marine Park Trails</a> page for a map and directions to scenic locations, and comfort stations and maps are also available inside the Salt Marsh Nature Center.</p>",Y,N,,
B073,Lullwater,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Prospect Park,1.0 mile,Easy,"Explore the Lullwater to see how nature thrives in the heart of Brooklyn.  The Lullwater is a great place to see birds and other wildlife.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",N,N,,
B073,Midwood,Enter Park at Lincoln Road and Ocean Avenue entrance. Trails begin or are near the Prospect Park Audubon Center.,Prospect Park,0.75 miles,Easy,"Step back in time with a walk through Brooklyn&rsquo;s oldest remaining forest. The Midwood, home to some of Prospect Park&rsquo;s largest trees, is a relic of Brooklyn&rsquo;s history, and was preserved and incorporated into the park during its original construction. The thirty-minute hike loops from Prospect Park&rsquo;s Audubon Center through a forest filled with birds and other animals.",N,N,,
B073,Peninsula,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Prospect Park,0.5 miles,Easy,"Discover how the Peninsula has changed over the last 300 years.  The Peninsula's restored landscapes provide scenic views, a home for Park wildlife, and great fishing.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",N,N,,
B073,Waterfall,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Prospect Park,0.5 miles,Easy,"Trace the source of the Lake on the Waterfall trail.  The Fallkill Falls is the first of six waterfalls that you will see along the Park's watercourse.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",N,N,,
Q001,Alley Pond Trails,"Park-wide. Check out our <a href=""/park-features/hiking/alley-pond"">Alley Pond Park Trails</a> page for a map and directions to scenic locations.",Alley Pond Park,Various,Various,Numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  The north end of the park boasts splendid salt marsh views.,N,N,,
Q015,Blue Trail,"Forest Park Drive East, off of Woodhaven Boulevard",Forest Park,1.7 miles,,Forest Park's numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  ,N,N,,
Q015,Orange Trail,Memorial Drive and Forest Park Drive East,Forest Park,2.4 miles,,This trail will lead you through a 2.4 mile adventurous hike along the perimeter of the forest,N,N,,
Q015,Yellow Trail,Metropolitan Avenue & Forest Park Drive East,Forest Park,1.0 mile,,,N,N,,
Q021,South Preserve Trail,Francis Lewis Boulevard and Union Turnpike,Cunningham Park,3.0 miles,,"Numerous unnamed trails wind through native hardwood (oak-hickory) forest, which features a diverse ecosystem to support abundant wildlife. The parks&rsquo; Kettle Ponds feature the sounds of Spring Peepers and other species of frogs throughout the spring and summer season.",N,N,,
