acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.972,['David Bauer'],0.5670000000000001,313293.0,5.22155,0.227,0.0,0w0D8H1ubRerCXHWYJkinO,0.601,10.0,0.11,-13.441,1.0,Shout to the Lord,47.0,2000,0.029,136.123,0.0396,2000.0
0.321,['Etta James'],0.821,360240.0,6.004,0.418,0.0,4JVeqfE2tpi7Pv63LJZtPh,0.000372,9.0,0.222,-9.841,0.0,Miss You,51.0,2000-12-12,0.0407,117.382,0.8029999999999999,2000.0
0.00659,['Quasimoto'],0.706,202507.0,3.3751166666666665,0.602,1.0,5pxtdhLAi0RTh1gNqhGMNA,0.000138,11.0,0.4,-8.306000000000001,0.0,Real Eyes,44.0,2000-06-13,0.342,89.69200000000002,0.479,2000.0
0.0039,['Millencolin'],0.368,173360.0,2.889333333333333,0.977,0.0,3jRsoe4Vkxa4BMYqGHX8L0,0.0,11.0,0.35,-2.757,0.0,Penguins & Polarbears,52.0,2000-02-22,0.127,165.889,0.5479999999999999,2000.0
0.122,['Steve Chou'],0.501,344200.0,5.736666666666666,0.511,0.0,4mronxcllhfyhBRqyZi8kU,0.0,7.0,0.279,-9.836,0.0,黃昏,53.0,2000-12-25,0.0291,78.045,0.113,2000.0
0.0666,"['Prodigy', 'Nas']",0.8290000000000001,195293.0,3.2548833333333334,0.614,1.0,0SlljMy4uEgoVPCyavtcHH,0.00085,1.0,0.0975,-8.546,1.0,Self Conscience - Dirty Version,46.0,2000-11-06,0.267,90.924,0.496,2000.0
0.00747,['At The Drive In'],0.352,174773.0,2.9128833333333333,0.985,0.0,2IHmR8p2poiSaS3cgBKmOt,0.00102,2.0,0.3670000000000001,-2.555,1.0,Arcarsenal,40.0,2000,0.22,129.97299999999998,0.241,2000.0
0.0792,['Barney'],0.974,56893.0,0.9482166666666668,0.604,0.0,4Zp7iCDJU2BfD7SOLuSa6X,0.0,7.0,0.0528,-8.979,1.0,Barney Theme Song,39.0,2000-01-01,0.036,114.047,0.998,2000.0
0.0004,['Godsmack'],0.505,334893.0,5.581549999999999,0.617,0.0,1losCJa0dcFV6HgZoqEESf,0.0131,8.0,0.421,-7.744,1.0,Spiral,41.0,2000-10-31,0.0251,96.976,0.417,2000.0
0.759,"['Hans Zimmer', 'Gavin Greenaway', 'The Lyndhurst Orchestra']",0.17,181867.0,3.0311166666666667,0.0504,0.0,4mWNwMmBADo548bT4xYtDo,0.948,4.0,0.112,-29.687,0.0,Earth,47.0,2000-04-25,0.0377,127.418,0.0963,2000.0
0.575,['Billy Preston'],0.809,157667.0,2.6277833333333334,0.726,0.0,5n9QhVJS3XSjSc9kNJNEIU,0.235,9.0,0.18,-8.209,0.0,Nothing From Nothing,39.0,2000-01-01,0.0274,102.779,0.92,2000.0
0.655,['The Peasall Sisters'],0.735,96133.0,1.6022166666666666,0.521,0.0,49rEKkP4P0nKhxMdPxaYzP,0.024,1.0,0.207,-12.161,1.0,In The Highways,42.0,2000-12-05,0.0317,113.545,0.946,2000.0
0.988,"['The Cathedral Singers', 'Lorelei McDermott', 'Stephen Hartman']",0.233,248600.0,4.1433333333333335,0.122,0.0,4IyK8htJJzbRjPihpMouWu,0.00354,10.0,0.0916,-19.528,1.0,"Ave Maria, Op. 52 No. 6, D. 839 (Arr. for Soprano, Harp & Chorus)",52.0,2000-01-01,0.0333,90.593,0.0991,2000.0
0.197,['Dave Hollister'],0.598,256493.0,4.274883333333333,0.581,0.0,5i3lYkjBeJdbdNY383bJ1f,0.0,8.0,0.121,-7.61,1.0,Take Care Of Home,38.0,2000-01-01,0.0418,73.071,0.696,2000.0
0.197,['Junior & Jorge'],0.953,289587.0,4.82645,0.563,0.0,66xErjM5Uym1xvQLhPi6Qs,2.72e-05,2.0,0.0448,-7.84,1.0,Olvidala,42.0,2000,0.0418,129.857,0.861,2000.0
0.000442,['Agent Orange'],0.506,126990.0,2.1165,0.941,0.0,7LQyIbPLk22Qem2rNmitCL,7.08e-06,10.0,0.0819,-6.812,0.0,Bloodstains,43.0,2000,0.1639999999999999,105.195,0.403,2000.0
6.13e-05,['The Clarks'],0.314,195067.0,3.251116666666667,0.688,0.0,1liqxWv5Stjdtor4n3S9cZ,2.45e-05,11.0,0.146,-7.524,1.0,Born Too Late,40.0,2000-06-20,0.0306,186.348,0.536,2000.0
