country,food_category,consumption,co2_emission
Argentina,pork,10.51,37.2
Argentina,poultry,38.66,41.53
Argentina,beef,55.48,1712.0
Argentina,lamb_goat,1.56,54.63
Argentina,fish,4.36,6.96
Argentina,eggs,11.39,10.46
Argentina,dairy,195.08,277.87
Argentina,wheat,103.11,19.66
Argentina,rice,8.77,11.22
Argentina,soybeans,0.0,0.0
Argentina,nuts,0.49,0.87
Australia,pork,24.14,85.44
Australia,poultry,46.12,49.54
Australia,beef,33.86,1044.85
Australia,lamb_goat,9.87,345.65
Australia,fish,17.69,28.25
Australia,eggs,8.51,7.82
Australia,dairy,234.49,334.01
Australia,wheat,70.46,13.44
Australia,rice,11.03,14.12
Australia,soybeans,0.19,0.09
Australia,nuts,8.73,15.45
Albania,pork,10.88,38.51
Albania,poultry,13.23,14.21
Albania,beef,22.5,694.3
Albania,lamb_goat,15.32,536.5
Albania,fish,3.85,6.15
Albania,eggs,12.45,11.44
Albania,dairy,303.72,432.62
Albania,wheat,138.64,26.44
Albania,rice,7.78,9.96
Albania,soybeans,0.0,0.0
Albania,nuts,4.36,7.72
Iceland,pork,21.69,76.77
Iceland,poultry,26.87,28.86
Iceland,beef,13.36,412.26
Iceland,lamb_goat,21.12,739.62
Iceland,fish,74.41,118.81
Iceland,eggs,8.24,7.57
Iceland,dairy,225.82,321.66
Iceland,wheat,72.92,13.91
Iceland,rice,3.89,4.98
Iceland,soybeans,0.11,0.05
Iceland,nuts,3.88,6.87
New Zealand,pork,22.29,78.9
New Zealand,poultry,34.98,37.58
New Zealand,beef,22.49,693.99
New Zealand,lamb_goat,18.91,662.23
New Zealand,fish,20.36,32.51
New Zealand,eggs,9.91,9.1
New Zealand,dairy,137.25,195.5
New Zealand,wheat,76.91,14.67
New Zealand,rice,9.16,11.72
New Zealand,soybeans,0.44,0.2
New Zealand,nuts,8.22,14.55
USA,pork,27.64,97.83
USA,poultry,50.01,53.72
USA,beef,36.24,1118.29
USA,lamb_goat,0.43,15.06
USA,fish,12.35,19.72
USA,eggs,14.58,13.39
