popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
41.0,0.644,0.823,236533.0,0.8140000000000001,0.687,0.1169999999999999,-5.611000000000001,0.177,102.619,0.649,Jazz
62.0,0.0855,0.6859999999999999,154373.0,0.67,0.0,0.12,-7.626,0.225,173.915,0.636,Rap
42.0,0.239,0.669,217778.0,0.736,0.000169,0.598,-3.2230000000000003,0.0602,145.061,0.494,Electronic
64.0,0.0125,0.522,245960.0,0.923,0.017,0.0854,-4.56,0.0539,120.40649672489091,0.595,Rock
60.0,0.121,0.78,229400.0,0.467,0.000134,0.314,-6.645,0.253,96.056,0.312,Rap
50.0,0.0664,0.419,271027.0,0.71,0.0,0.0967,-5.659,0.0321,143.968,0.242,Alternative
62.0,0.0198,0.6,277533.0,0.912,6.52e-05,0.0883,-3.449,0.0724,110.339,0.506,Rock
70.0,0.0823,0.7909999999999999,214880.0,0.759,4.44e-05,0.0993,-5.67,0.037,124.725,0.917,Rock
61.0,0.608,0.6729999999999999,117013.0,0.349,0.0,0.38,-12.414,0.0368,124.451,0.609,Rock
71.0,0.0314,0.5589999999999999,205933.0,0.882,1.7100000000000002e-05,0.605,-4.281000000000001,0.157,126.064,0.634,Rock
39.0,0.97,0.206,208280.0,0.1159999999999999,0.959,0.144,-23.543000000000003,0.0464,114.943,0.0383,Classical
67.0,0.000531,0.502,229928.0,0.685,1.61e-06,0.0923,-5.847,0.0283,81.978,0.574,Rock
53.0,0.00351,0.422,205427.0,0.953,1.03e-06,0.575,-5.9270000000000005,0.123,152.009,0.2,Rock
29.0,0.0684,0.437,226560.0,0.722,0.848,0.133,-8.987,0.0457,139.077,0.192,Blues
52.0,0.386,0.691,256800.0,0.551,0.00115,0.223,-8.984,0.0389,93.979,0.654,Rock
65.0,0.171,0.444,145640.0,0.943,6.59e-06,0.297,-3.724,0.104,125.896,0.411,Rock
39.0,0.00351,0.534,287033.0,0.653,0.0205,0.254,-7.358,0.0314,155.69299999999998,0.434,Blues
52.0,0.0178,0.878,251667.0,0.6509999999999999,0.0,0.0408,-8.074,0.252,92.028,0.102,Rap
23.0,0.019,0.519,256560.0,0.875,0.0,0.315,-4.542,0.0406,104.04,0.546,Anime
67.0,0.00238,0.236,354393.0,0.84,0.204,0.303,-3.454,0.0572,129.19,0.1889999999999999,Rock
48.0,0.787,0.74,130293.0,0.565,0.0,0.38,-9.483,0.0541,113.713,0.8440000000000001,Country
58.0,0.22,0.7040000000000001,238267.0,0.528,0.35,0.14,-13.382,0.0358,117.472,0.73,Rock
67.0,0.0609,0.648,242035.0,0.75,4.41e-06,0.104,-3.248,0.0335,105.03,0.556,Rock
62.0,0.0004559999999999,0.519,190707.0,0.892,0.000525,0.5720000000000001,-5.285,0.113,174.02700000000002,0.5589999999999999,Rock
52.0,0.0038399999999999,0.544,210080.0,0.625,0.00657,0.0889,-6.797000000000001,0.0342,75.243,0.43,Rock
59.0,0.833,0.471,267067.0,0.1639999999999999,0.0,0.1009999999999999,-10.879,0.0324,125.242,0.17,Rock
68.0,0.021,0.424,254533.0,0.632,0.0117,0.0545,-7.242999999999999,0.0922,97.694,0.356,Rock
43.0,0.0129,0.616,207067.0,0.605,0.0,0.1119999999999999,-4.641,0.093,77.493,0.435,Alternative
64.0,0.0766,0.397,327400.0,0.499,1.55e-06,0.111,-10.972,0.0685,171.067,0.367,Rock
32.0,0.00465,0.638,222369.0,0.5870000000000001,0.909,0.157,-6.266,0.0413,145.036,0.3229999999999999,Electronic
61.0,0.0433,0.596,185030.0,0.7290000000000001,0.151,0.135,-5.82,0.0698,149.999,0.56,Rock
55.0,0.126,0.779,217440.0,0.902,0.0,0.242,-2.975,0.1689999999999999,95.321,0.82,Rap
65.0,0.000995,0.602,261560.0,0.755,0.0799,0.412,-5.791,0.0397,135.042,0.6459999999999999,Rock
51.0,0.602,0.6579999999999999,141174.0,0.626,2.46e-06,0.682,-6.069,0.3279999999999999,120.40649672489091,0.738,Hip-Hop
68.0,0.221,0.588,278441.0,0.301,0.00236,0.128,-14.979,0.0294,112.458,0.19,Rock
74.0,0.0241,0.469,382834.0,0.537,0.00201,0.2689999999999999,-10.421,0.152,124.193,0.7829999999999999,Rock
62.0,0.0182,0.3779999999999999,339493.0,0.596,1.14e-05,0.144,-5.406000000000001,0.0323,135.968,0.172,Rock
54.0,0.936,0.696,131024.0,0.2339999999999999,4.3e-05,0.114,-14.541,0.0383,130.30200000000002,0.484,Jazz
65.0,0.527,0.773,264600.0,0.794,0.000354,0.113,-4.954,0.0326,101.143,0.907,Rock
51.0,0.316,0.474,233853.0,0.508,0.0,0.166,-6.845,0.0235,77.31,0.358,Blues
53.0,0.0364,0.45,415600.0,0.341,0.0002839999999999,0.0405,-14.218,0.0327,118.782,0.366,Rock
50.0,0.00555,0.74,184490.0,0.497,0.0,0.3339999999999999,-5.309,0.152,147.026,0.067,Hip-Hop
33.0,0.84,0.192,422133.0,0.0068099999999999,0.0844,0.0681,-37.783,0.0456,79.046,0.0702,Classical
0.0,0.928,0.382,588400.0,0.161,0.5589999999999999,0.12,-19.09,0.0535,93.319,0.266,Classical
62.0,0.0316,0.5579999999999999,213653.0,0.8959999999999999,0.0,0.528,-3.687,0.0545,90.064,0.63,Rock
25.0,0.0106,0.584,253467.0,0.925,0.0857,0.581,-4.09,0.1639999999999999,127.984,0.0534,Electronic
