hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty,cnt
0,0,0,0.76,0.66,0.0,13004,7,1,1,0,0,149
1,0,0,0.74,0.7,0.1343,13005,7,1,1,0,0,93
2,0,0,0.72,0.74,0.0896,13006,7,1,1,0,0,90
3,0,0,0.72,0.84,0.1343,13007,7,1,1,0,0,33
4,0,0,0.7,0.79,0.1939999999999999,13008,7,1,1,0,0,4
5,0,0,0.68,0.79,0.1045,13009,7,1,1,0,0,10
6,0,0,0.7,0.79,0.0896,13010,7,1,1,0,0,27
7,0,0,0.74,0.7,0.0,13011,7,1,1,0,0,50
8,0,0,0.78,0.62,0.1045,13012,7,1,1,0,0,142
9,0,0,0.82,0.56,0.0,13013,7,1,1,0,0,219
10,0,0,0.86,0.44,0.2985,13014,7,1,1,0,0,366
11,0,0,0.88,0.39,0.2239,13015,7,1,1,0,0,377
12,0,0,0.9,0.37,0.2239,13016,7,1,1,0,0,433
13,0,0,0.92,0.33,0.2537,13017,7,1,1,0,0,420
14,0,0,0.92,0.33,0.2537,13018,7,1,1,0,0,444
15,0,0,0.9,0.37,0.2836,13019,7,1,1,0,0,345
16,0,0,0.92,0.33,0.2985,13020,7,1,1,0,0,313
17,0,0,0.92,0.26,0.2985,13021,7,1,1,0,0,413
18,0,0,0.88,0.32,0.3582,13022,7,1,1,0,0,370
19,0,0,0.84,0.39,0.1343,13023,7,1,1,0,0,382
20,0,0,0.84,0.39,0.1343,13024,7,1,1,0,0,332
21,0,0,0.84,0.39,0.1343,13025,7,1,1,0,0,258
22,0,0,0.82,0.43,0.1343,13026,7,1,1,0,0,151
23,0,0,0.78,0.52,0.1642,13027,7,1,0,1,0,110
0,0,1,0.76,0.58,0.2239,13028,7,1,0,0,1,43
1,0,1,0.76,0.58,0.1939999999999999,13029,7,1,0,0,1,17
2,0,1,0.74,0.51,0.2537,13030,7,1,0,0,1,15
3,0,1,0.72,0.54,0.4179,13031,7,1,0,0,1,5
4,0,1,0.72,0.54,0.2985,13032,7,1,0,0,1,12
5,0,1,0.72,0.51,0.0,13033,7,1,0,0,1,40
6,0,1,0.7,0.58,0.1045,13034,7,1,1,0,0,136
7,0,1,0.74,0.51,0.1045,13035,7,1,1,0,0,398
8,0,1,0.76,0.52,0.1939999999999999,13036,7,1,1,0,0,568
9,0,1,0.78,0.46,0.2537,13037,7,1,1,0,0,295
10,0,1,0.8,0.43,0.2537,13038,7,1,1,0,0,174
11,0,1,0.84,0.28,0.2985,13039,7,1,1,0,0,201
12,0,1,0.84,0.32,0.1939999999999999,13040,7,1,1,0,0,257
13,0,1,0.86,0.34,0.2239,13041,7,1,1,0,0,236
14,0,1,0.86,0.34,0.2239,13042,7,1,1,0,0,230
15,0,1,0.84,0.36,0.1939999999999999,13043,7,1,1,0,0,234
16,0,1,0.84,0.36,0.2836,13044,7,1,1,0,0,365
17,0,1,0.84,0.32,0.1343,13045,7,1,1,0,0,747
18,0,1,0.84,0.32,0.1642,13046,7,1,1,0,0,730
19,0,1,0.78,0.43,0.1343,13047,7,1,1,0,0,581
20,0,1,0.78,0.43,0.1343,13048,7,1,1,0,0,395
21,0,1,0.76,0.45,0.1343,13049,7,1,1,0,0,258
22,0,1,0.74,0.51,0.1642,13050,7,1,1,0,0,188
23,0,1,0.74,0.51,0.1045,13051,7,1,1,0,0,102
0,0,1,0.72,0.54,0.0,13052,7,1,1,0,0,53
1,0,1,0.72,0.58,0.0,13053,7,1,1,0,0,14
2,0,1,0.72,0.58,0.0,13054,7,1,1,0,0,10
3,0,1,0.7,0.65,0.1343,13055,7,1,1,0,0,2
4,0,1,0.68,0.65,0.1045,13056,7,1,1,0,0,6
5,0,1,0.7,0.61,0.0,13057,7,1,1,0,0,35
6,0,1,0.7,0.65,0.1343,13058,7,1,1,0,0,154
7,0,1,0.74,0.58,0.0,13059,7,1,1,0,0,483
8,0,1,0.74,0.62,0.0896,13060,7,1,1,0,0,646
9,0,1,0.8,0.49,0.1642,13061,7,1,1,0,0,272
10,0,1,0.82,0.43,0.2239,13062,7,1,1,0,0,209
11,0,1,0.86,0.34,0.1939999999999999,13063,7,1,1,0,0,217
12,0,1,0.88,0.28,0.1939999999999999,13064,7,1,1,0,0,272
13,0,1,0.9,0.25,0.1343,13065,7,1,1,0,0,283
14,0,1,0.9,0.25,0.1939999999999999,13066,7,1,1,0,0,310
15,0,1,0.9,0.24,0.0,13067,7,1,0,0,1,401
16,0,1,0.9,0.24,0.1939999999999999,13068,7,1,0,0,1,527
17,0,1,0.86,0.3,0.1642,13069,7,1,0,0,1,722
18,0,1,0.86,0.3,0.0,13070,7,1,0,0,1,627
19,0,1,0.84,0.36,0.1343,13071,7,1,0,0,1,497
20,0,1,0.76,0.55,0.4925,13072,7,1,0,1,0,376
21,0,1,0.7,0.7,0.2836,13073,7,1,0,0,1,196
22,0,1,0.68,0.79,0.1939999999999999,13074,7,1,1,0,0,177
23,0,1,0.66,0.83,0.0,13075,7,1,1,0,0,171
0,1,0,0.68,0.79,0.0896,13076,7,1,1,0,0,159
1,1,0,0.68,0.74,0.0,13077,7,1,1,0,0,123
2,1,0,0.66,0.83,0.1343,13078,7,1,1,0,0,93
3,1,0,0.68,0.74,0.1939999999999999,13079,7,1,1,0,0,32
4,1,0,0.68,0.69,0.2537,13080,7,1,1,0,0,16
5,1,0,0.66,0.69,0.0,13081,7,1,1,0,0,19
6,1,0,0.66,0.69,0.0,13082,7,1,1,0,0,32
7,1,0,0.68,0.65,0.0,13083,7,1,1,0,0,72
8,1,0,0.7,0.61,0.1045,13084,7,1,1,0,0,153
9,1,0,0.76,0.52,0.0,13085,7,1,1,0,0,293
10,1,0,0.8,0.46,0.0,13086,7,1,1,0,0,447
11,1,0,0.82,0.46,0.1343,13087,7,1,1,0,0,485
12,1,0,0.86,0.41,0.2239,13088,7,1,1,0,0,494
13,1,0,0.9,0.35,0.0,13089,7,1,1,0,0,499
14,1,0,0.9,0.37,0.1642,13090,7,1,1,0,0,547
15,1,0,0.92,0.35,0.2985,13091,7,1,1,0,0,454
16,1,0,0.92,0.35,0.2537,13092,7,1,1,0,0,389
17,1,0,0.92,0.35,0.2985,13093,7,1,1,0,0,414
18,1,0,0.9,0.42,0.1939999999999999,13094,7,1,1,0,0,430
19,1,0,0.86,0.47,0.2239,13095,7,1,1,0,0,432
20,1,0,0.86,0.47,0.2239,13096,7,1,1,0,0,551
21,1,0,0.84,0.53,0.1343,13097,7,1,1,0,0,584
22,1,0,0.82,0.56,0.2239,13098,7,1,1,0,0,502
23,1,0,0.78,0.43,0.0896,13099,7,1,0,0,1,183
0,0,1,0.74,0.51,0.1045,13100,7,1,1,0,0,88
1,0,1,0.74,0.51,0.2836,13101,7,1,1,0,0,30
2,0,1,0.74,0.51,0.0,13102,7,1,1,0,0,18
3,0,1,0.72,0.54,0.1939999999999999,13103,7,1,1,0,0,7
4,0,1,0.72,0.58,0.0,13104,7,1,1,0,0,7
5,0,1,0.72,0.62,0.0,13105,7,1,1,0,0,29
6,0,1,0.72,0.58,0.0,13106,7,1,1,0,0,133
7,0,1,0.76,0.55,0.0,13107,7,1,1,0,0,343
8,0,1,0.8,0.49,0.1343,13108,7,1,1,0,0,550
9,0,1,0.84,0.49,0.2985,13109,7,1,1,0,0,293
10,0,1,0.86,0.44,0.3582,13110,7,1,1,0,0,186
11,0,1,0.9,0.35,0.2985,13111,7,1,1,0,0,244
12,0,1,0.9,0.35,0.3582,13112,7,1,1,0,0,276
13,0,1,0.92,0.33,0.2239,13113,7,1,1,0,0,310
14,0,1,0.92,0.33,0.3284,13114,7,1,1,0,0,241
15,0,1,0.92,0.33,0.3582,13115,7,1,1,0,0,254
16,0,1,0.92,0.33,0.2537,13116,7,1,1,0,0,433
17,0,1,0.92,0.35,0.1642,13117,7,1,1,0,0,689
18,0,1,0.9,0.39,0.3284,13118,7,1,0,0,1,607
19,0,1,0.88,0.39,0.2537,13119,7,1,0,0,1,503
20,0,1,0.86,0.41,0.2239,13120,7,1,0,0,1,321
21,0,1,0.84,0.47,0.1939999999999999,13121,7,1,1,0,0,323
22,0,1,0.82,0.59,0.1343,13122,7,1,1,0,0,225
23,0,1,0.8,0.55,0.1642,13123,7,1,1,0,0,131
0,0,1,0.78,0.62,0.1343,13124,7,1,1,0,0,102
1,0,1,0.78,0.55,0.2239,13125,7,1,1,0,0,29
2,0,1,0.76,0.62,0.1343,13126,7,1,1,0,0,17
3,0,1,0.74,0.7,0.1939999999999999,13127,7,1,0,0,1,7
4,0,1,0.74,0.66,0.2239,13128,7,1,1,0,0,6
5,0,1,0.74,0.66,0.1939999999999999,13129,7,1,1,0,0,35
6,0,1,0.74,0.66,0.1939999999999999,13130,7,1,1,0,0,131
7,0,1,0.78,0.46,0.1343,13131,7,1,1,0,0,353
8,0,1,0.8,0.41,0.1642,13132,7,1,1,0,0,585
9,0,1,0.82,0.36,0.1343,13133,7,1,1,0,0,304
10,0,1,0.86,0.3,0.0,13134,7,1,1,0,0,210
11,0,1,0.84,0.32,0.0896,13135,7,1,1,0,0,233
12,0,1,0.88,0.28,0.1045,13136,7,1,1,0,0,331
13,0,1,0.9,0.27,0.1045,13137,7,1,1,0,0,293
14,0,1,0.9,0.31,0.1642,13138,7,1,1,0,0,275
15,0,1,0.92,0.29,0.1939999999999999,13139,7,1,1,0,0,285
16,0,1,0.92,0.29,0.1045,13140,7,1,1,0,0,369
17,0,1,0.92,0.29,0.0,13141,7,1,1,0,0,576
18,0,1,0.9,0.33,0.2537,13142,7,1,1,0,0,560
19,0,1,0.88,0.35,0.2239,13143,7,1,1,0,0,418
20,0,1,0.86,0.39,0.1045,13144,7,1,1,0,0,336
21,0,1,0.82,0.52,0.1343,13145,7,1,1,0,0,300
